Voucher Identifier,Location,Date,Month,Day,Year,WP,Species,,Quantity,ID,fun.grp,,,,,,,,,
PP.31.April.22.2018.Braun.1,Packer lab,4.22.2018,April,22,2018,31,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
PP.53.April.23.2018.Braun.1,Packer lab,4.23.2018,April,23,2018,53,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
PP.55.April.23.2018.Braun.1,Packer lab,4.23.2018,April,23,2018,55,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
,,4.23.2018,April,23,2018,55,PP,1,1,ashmeadiella,StMbee,,,,,,,,,
PP.70.April.24.2018.Braun.1,Packer lab,4.24.2018,April,24,2018,70,PP,V,1,ashmeadiella,StMbee,,,,,,,,,
,,4.24.2018,April,24,2018,87,SC,3,3,ashmeadiella,StMbee,,,,,,,,,
,,4.24.2018,April,24,2018,88,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,4.24.2018,April,24,2018,93,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
SC.112.April.25.2018.Braun.1,Packer lab,4.25.2018,April,25,2018,112,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
SC.112.April.25.2018.Braun.3,Packer lab,4.25.2018,April,25,2018,112,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
,,4.25.2018,April,25,2018,112,SC,4,4,ashmeadiella,StMbee,,,,,,,,,
,,4.25.2018,April,25,2018,114,SC,4,4,ashmeadiella,StMbee,,,,,,,,,
,,4.25.2018,April,25,2018,119,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,4.26.2018,April,26,2018,125,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,4.26.2018,April,26,2018,126,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,4.26.2018,April,26,2018,130,HH,1,1,ashmeadiella,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,139,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,152,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,156,SC,3,3,ashmeadiella,StMbee,,,,,,,,,
,,4.28.2018,April,28,2018,167,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,4.28.2018,April,28,2018,182,LT,2,2,ashmeadiella,StMbee,,,,,,,,,
,,4.28.2018,April,28,2018,195,SD,1,1,ashmeadiella,StMbee,,,,,,,,,
SC.196.April.28.2018.Braun.1,Packer lab,4.28.2018,April,28,2018,196,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
SC.196.April.28.2018.Braun.2,Packer lab,4.28.2018,April,28,2018,196,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
SC.248.May.3.2018.Braun.1,Packer lab,5.3.2018,May,3,2018,248,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
SC.248.May.3.2018.Braun.2,Packer lab,5.3.2018,May,3,2018,248,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,268,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
SC.285.May.4.2018.Braun.1,Packer lab,5.4.2018,May,4,2018,285,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,285,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,5.5.2018,May,5,2018,288,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
SC.296.May.5.2018.Braun.1,Packer lab,5.5.2018,May,5,2018,296,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
SC.296.May.5.2018.Braun.2,Packer lab,5.5.2018,May,5,2018,296,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
,,5.5.2018,May,5,2018,296,SC,7,7,ashmeadiella,StMbee,,,,,,,,,
,,5.5.2018,May,5,2018,298,SC,3,3,ashmeadiella,StMbee,,,,,,,,,
,,5.5.2018,May,5,2018,303,SC,9,9,ashmeadiella,StMbee,,,,,,,,,
,,5.5.2018,May,5,2018,311,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
SC.312.May.6.2018.Braun.1,Packer lab,5.6.2018,May,6,2018,312,SC,V,1,ashmeadiella,StMbee,,,,,,,,,
,,5.6.2018,May,6,2018,312,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,5.6.2018,May,6,2018,312,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,5.6.2018,May,6,2018,314,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,5.6.2018,May,6,2018,322,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
,,5.6.2018,May,6,2018,326,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,341,SC,5,5,ashmeadiella,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,350,SC,4,4,ashmeadiella,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,351,SC,6,6,ashmeadiella,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,356,SC,4,4,ashmeadiella,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,359,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,5.8.2018,May,8,2018,374,SC,3,3,ashmeadiella,StMbee,,,,,,,,,
,,5.8.2018,May,8,2018,382,SC,1,1,ashmeadiella,StMbee,,,,,,,,,
,,5.8.2018,May,8,2018,385,SC,2,2,ashmeadiella,StMbee,,,,,,,,,
PP.15.April.21.2018.Braun.1,Packer lab,4.21.2018,April,21,2018,15,PP,V,1,ashmeadiella ,StMbee,,,,,,,,,
,,4.22.2018,April,22,2018,27,PP,2,2,ashmeadiella ,StMbee,,,,,,,,,
,,4.23.2018,April,23,2018,53,PP,1,1,ashmeadiella ,StMbee,,,,,,,,,
AS.327.May.6.2018.Braun.1,Packer lab,5.6.2018,May,6,2018,327,AS,V,1,ashmeadiella - red legs,StMbee,,,,,,,,,
,,4.22.2018,April,22,2018,28,EL,1,1,bee.2,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,143,EC,1,1,bee.grey,StMbee,,,,,,,,,
,,4.23.2018,April,23,2018,49,SD,1,1,bee.med.1,StMbee,,,,,,,,,
,,4.23.2018,April,23,2018,52,SD,2,2,bee.med.1,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,153,EC,1,1,bee.tiny.blk,StVSbee,,,,,,,,,
,,5.3.2018,May,3,2018,247,AS,1,1,bee.tiny.blk,StVSbee,,,,,,,,,
,,4.26.2018,April,26,2018,128,AS,3,3,bembecini ,Nwasp,,,,"happy face on back, yellow and black, zigzaggy stripes, 2 cms, green eyed",,,,,
,,4.27.2018,April,27,2018,142,AS,1,1,bembecini ,Nwasp,,,,,,,,,
,,5.3.2018,May,3,2018,251,AS,1,1,bembecini ,Nwasp,,,,,,,,,
,,5.6.2018,May,6,2018,316,AS,1,1,bembecini ,Nwasp,,,,,,,,,
,,4.28.2018,April,28,2018,190,EC,"V, 1",0,black and red hemiptera,,,,,,,,,,
,,4.27.2018,April,27,2018,147,EC,1,1,black/blue wasp,Nwasp,,,,,,,,,
AS.361.May.8.2018.Braun.1,,5.8.2018,May,8,2018,361,AS,V,1,bombylid - black and white,SpBeefly,,,,,,,,,
,,5.8.2018,May,8,2018,365,BW,1,1,bombylid - black and white,SpBeefly,,,,,,,,,
,,5.8.2018,May,8,2018,369,AS,1,1,bombylid - black and white,SpBeefly,,,,,,,,,
EC.172.April.28.2018.Braun.1,,4.28.2018,April,28,2018,172,EC,V,1,"bombyliid - small, spotted wings",SpBeefly,,,,,,,,,
EC.153.April.27.2018.Braun.1,,4.27.2018,April,27,2018,153,EC,V,1,"bombyliid - small, white",SpBeefly,,,,,,,,,
,,4.25.2018,April,25,2018,111,EC,1,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
,,4.28.2018,April,28,2018,177,AS,1,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
,,4.28.2018,April,28,2018,190,EC,1,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
,,4.28.2018,April,28,2018,192,EC,1,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
AS.287.May.5.2018.Braun.1,,5.5.2018,May,5,2018,287,AS,V,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
,,5.5.2018,May,5,2018,299,AS,1,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
,,5.7.2018,May,7,2018,346,AS,1,1,"bombyliidae - grey, 3 stripes",SpBeefly,,,,,,,,,
,,4.24.2018,April,24,2018,82,LT,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.24.2018,April,24,2018,90,EC,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.25.2018,April,25,2018,113,AS,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.26.2018,April,26,2018,128,AS,2,2,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.26.2018,April,26,2018,132,EC,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.27.2018,April,27,2018,141,AS,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.27.2018,April,27,2018,143,EC,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
,,4.27.2018,April,27,2018,146,EC,1,1,"bombyliidae - grey, slender",SpBeefly,,,,,,,,,
AS.47.April.23.2018.Braun.1,,4.23.2018,April,23,2018,47,AS,V,1,bombyliidae - Part smokey wings,SpBeefly,,,,,,,,,
,,4.23.2018,April,23,2018,54,AS,1,1,bombyliidae - Part smokey wings,SpBeefly,,,,,,,,,
,,4.25.2018,April,25,2018,106,EC,1,1,bombylinae - grey,LpBeefly,,,,,,,,,
,,5.8.2018,May,8,2018,367,BW,1,1,bombylinae - grey,LpBeefly,,,,,,,,,
,,4.23.2018,April,23,2018,52,SD,1,1,bombylinae - orange,LpBeefly,,,,,,,,,
,,4.25.2018,April,25,2018,106,EC,2,2,bombylinae - orange,LpBeefly,,,,,,,,,
,,4.25.2018,April,25,2018,110,EC,1,1,bombylinae - orange,LpBeefly,,,,,,,,,
SD.49.April.23.2018.Braun.1,,4.23.2018,April,23,2018,49,SD,V,1,braconidae?,Nwasp,,,,,,,,,
,,4.23.2018,April,23,2018,50,SM,1,1,Calypte costae,hummingbird,,,,,,,,,
,,4.27.2018,April,27,2018,149,LT,1,1,Calypte costae,hummingbird,,,,,,,,,
,,5.4.2018,May,4,2018,266,SC,1,1,Calypte costae,hummingbird,,,,,,,,,
,,5.8.2018,May,8,2018,383,SC,1,1,Calypte costae,hummingbird,,,,,,,,,
,,4.23.2018,April,23,2018,54,AS,1,1,calypterate fly,LgDi,,,,,,,,,
,,4.24.2018,April,24,2018,82,LT,1,1,centris,StVLbee,,,,,,,,,
,,4.26.2018,April,26,2018,127,LT,1,1,centris,StVLbee,,,,,,,,,
,,5.5.2018,May,5,2018,294,LT,1,1,centris,StVLbee,,,,,,,,,
,,5.5.2018,May,5,2018,306,LT,1,1,centris,StVLbee,,,,,,,,,
,,5.6.2018,May,6,2018,319,LT,1,1,centris,StVLbee,,,,,,,,,
,,5.8.2018,May,8,2018,366,LT,1,1,centris,StVLbee,,,,,,,,,
,,5.8.2018,May,8,2018,377,LT,1,1,centris,StVLbee,,,,,,,,,
,,5.8.2018,May,8,2018,384,LT,5,5,centris,StVLbee,,,,,,,,,
LT.295.May.5.2018.Braun.1,Packer lab,5.5.2018,May,5,2018,295,LT,V,1,centris pallida,StVLbee,,,,,,,,,
,,4.27.2018,April,27,2018,152,SC,1,0,chrysididae,wasp,,,,,,,,,
EC.111.April.25.2018.Braun.1,,4.25.2018,April,25,2018,111,EC,V,1,click beetle,beetle,,,,,,,,,
,,5.8.2018,May,8,2018,365,BW,1,1,Coleophora,MicroLep,,,,,,,,,
,,5.8.2018,May,8,2018,367,BW,1,1,Coleophora,MicroLep,,,,,,,,,
,,5.8.2018,May,8,2018,375,BW,1,1,Coleophora,MicroLep,,,,,,,,,
,,4.22.2018,April,22,2018,33,LT,1,1,colletes,StMbee,,,,,,,,,
,,4.22.2018,April,22,2018,38,LT,1,1,colletes,StMbee,,,,,,,,,
,,4.23.2018,April,23,2018,61,LT,1,1,colletes,StMbee,,,,,,,,,
,,4.24.2018,April,24,2018,82,LT,3,3,colletes,StMbee,,,,,,,,,
,,4.24.2018,April,24,2018,96,LT,1,1,colletes,StMbee,,,,,,,,,
LT.101.April.25.2018.Braun.1,Packer lab,4.25.2018,April,25,2018,101,LT,V,1,colletes,StMbee,,,,,,,,,
,,4.25.2018,April,25,2018,101,LT,3,3,colletes,StMbee,,,,,,,,,
,,4.25.2018,April,25,2018,118,LT,1,1,colletes,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,149,LT,2,2,colletes,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,149,LT,1,1,colletes,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,151,LT,3,3,colletes,StMbee,,,,,,,,,
,,4.27.2018,April,27,2018,159,LT,1,1,colletes,StMbee,,,,,,,,,
,,4.28.2018,April,28,2018,169,LT,2,2,colletes,StMbee,,,,,,,,,
,,4.28.2018,April,28,2018,173,LT,4,4,colletes,StMbee,,,,,,,,,
,,4.28.2018,April,28,2018,182,LT,1,1,colletes,StMbee,,,,,,,,,
LT.193.April.28.2018.Braun.1,Packer lab,4.28.2018,April,28,2018,193,LT,V,1,colletes,StMbee,,,,,,,,,
,,4.30.2018,April,30,2018,199,LT,2,2,colletes,StMbee,,,,,,,,,
,,4.30.2018,April,30,2018,211,LT,1,1,colletes,StMbee,,,,,,,,,
,,5.3.2018,May,3,2018,250,LT,1,1,colletes,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,265,LT,1,1,colletes,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,271,LT,3,3,colletes,StMbee,,,,,,,,,
LT.275.May.4.2018.Braun.1,Packer lab,5.4.2018,May,4,2018,275,LT,V,1,colletes,StMbee,,,,,,,,,
LT.275.May.4.2018.Braun.2,Packer lab,5.4.2018,May,4,2018,275,LT,V,1,colletes,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,275,LT,3,3,colletes,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,276,LT,2,2,colletes,StMbee,,,,,,,,,
,,5.4.2018,May,4,2018,286,LT,1,1,colletes,StMbee,,,,,,,,,
,,5.5.2018,May,5,2018,295,LT,2,2,colletes,StMbee,,,,,,,,,
LT.339.May.7.2018.Braun.1,Packer lab,5.7.2018,May,7,2018,339,LT,V,1,colletes,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,339,LT,1,1,colletes,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,345,LT,1,1,colletes,StMbee,,,,,,,,,
,,5.7.2018,May,7,2018,349,LT,1,1,colletes,StMbee,,,,,,,,,
LT.366.May.8.2018.Braun.1,Packer lab,5.8.2018,May,8,2018,366,LT,V,1,colletes,StMbee,,,,,,,,,
AS.371.May.8.2018.Braun.1,Packer lab,5.8.2018,May,8,2018,371,AS,V,1,colletes,StMbee,,,,,,,,,
,,5.8.2018,May,8,2018,371,AS,1,1,colletes,StMbee,,,,,,,,,
,,5.8.2018,May,8,2018,372,AS,1,1,colletes,StMbee,,,,,,,,,
EC.11.April.21.2018.Braun.1,,4.21.2018,April,21,2018,11,EC,V,1,collops,beetle,,,,,,,,,
AS.26.April.22.2018.Braun.1,,4.22.2018,April,22,2018,26,AS,V,1,collops,beetle,,,,,,,,,
EC.65.April.23.2018.Braun.1,,4.23.2018,April,23,2018,65,EC,V,1,collops,beetle,,,,,,,,,
,,4.28.2018,April,28,2018,176,AS,1,1,collops,beetle,,,,,,,,,
,,4.23.2018,April,23,2018,52,SD,1,1,desert swallowtail,butterfly,,,,,,,,,
HH.4.April.21.2018.Braun.1,Packer lab,4.21.2018,April,21,2018,4,HH,V,1,diadasia,StLBee,,,,,,,,,
HH.4.April.21.2018.Braun.1,,4.21.2018,April,21,2018,4,HH,1,1,diadasia,StLBee,,,,,,,,,
,,4.21.2018,April,21,2018,17,PP,1,1,diadasia,StLBee,,,,,,,,,
,,4.22.2018,April,22,2018,27,PP,1,1,diadasia,StLBee,,,,,,,,,
,,4.22.2018,April,22,2018,31,PP,1,1,diadasia,StLBee,,,,,,,,,
,,4.24.2018,April,24,2018,74,PP,2,2,diadasia,StLBee,,,,,,,,,
,,4.24.2018,April,24,2018,77,PP,1,1,diadasia,StLBee,,,,,,,,,
SC.87.April.24.2018.Braun.1,Packer lab,4.24.2018,April,24,2018,87,SC,V,1,diadasia,StLBee,,,,,,,,,
,,4.24.2018,April,24,2018,87,SC,1,1,diadasia,StLBee,,,,,,,,,
,,4.25.2018,April,25,2018,97,PP,2,2,diadasia,StLBee,,,,,,,,,
,,4.25.2018,April,25,2018,99,PP,1,1,diadasia,StLBee,,,,,,,,,
,,4.26.2018,April,26,2018,124,PP,9,9,diadasia,StLBee,,,,,,,,,
,,4.26.2018,April,26,2018,125,SC,1,1,diadasia,StLBee,,,,,,,,,
,,4.27.2018,April,27,2018,144,HH,3,3,diadasia,StLBee,,,,,,,,,
,,4.27.2018,April,27,2018,156,SC,1,1,diadasia,StLBee,,,,,,,,,
,,4.28.2018,April,28,2018,168,PP,1,1,diadasia,StLBee,,,,,,,,,
,,4.28.2018,April,28,2018,196,SC,1,1,diadasia,StLBee,,,,,,,,,
SC.198.April.30.2018.Braun.1,Packer lab,4.30.2018,April,30,2018,198,SC,V,1,diadasia,StLBee,,,,,,,,,
,,4.30.2018,April,30,2018,198,SC,1,1,diadasia,StLBee,,,,,,,,,
,,4.30.2018,April,30,2018,202,SC,1,1,diadasia,StLBee,,,,,,,,,
,,4.30.2018,April,30,2018,207,SC,3,3,diadasia,StLBee,,,,,,,,,
,,4.30.2018,April,30,2018,228,SC,2,2,diadasia,StLBee,,,,,,,,,
,,4.30.2018,April,30,2018,234,SC,1,1,diadasia,StLBee,,,,,,,,,
,,5.3.2018,May,3,2018,248,SC,1,1,diadasia,StLBee,,,,,,,,,
256.SC.May.3.2018.Braun.1,Packer lab,5.3.2018,May,3,2018,256,SC,V,1,diadasia,StLBee,,,,,,,,,
SC.285.May.4.2018.Braun.2,Packer lab,5.4.2018,May,4,2018,285,SC,V,1,diadasia,StLBee,,,,,,,,,
SC.303.May.5.2018.Braun.1,Packer lab,5.5.2018,May,5,2018,303,SC,V,1,diadasia,StLBee,,,,,,,,,
SC.303.May.5.2018.Braun.2,Packer lab,5.5.2018,May,5,2018,303,SC,V,1,diadasia,StLBee,,,,,,,,,
,,5.5.2018,May,5,2018,303,SC,2,2,diadasia,StLBee,,,,,,,,,
SC.311.May.5.2018.Braun.1,Packer lab,5.5.2018,May,5,2018,311,SC,V,1,diadasia,StLBee,,,,,,,,,
SC.322.May.6.2018.Braun.1,Packer lab,5.6.2018,May,6,2018,322,SC,V,1,diadasia,StLBee,,,,,,,,,
SC.322.May.6.2018.Braun.2,Packer lab,5.6.2018,May,6,2018,322,SC,V,1,diadasia,StLBee,,,,,,,,,
,,5.6.2018,May,6,2018,322,SC,3,3,diadasia,StLBee,,,,,,,,,
SC.328.May.6.2018.Braun.1,Packer lab,5.6.2018,May,6,2018,328,SC,V,1,diadasia,StLBee,,,,,,,,,
,,5.6.2018,May,6,2018,335,SC,1,1,diadasia,StLBee,,,,,,,,,
,,5.7.2018,May,7,2018,350,SC,1,1,diadasia,StLBee,,,,,,,,,
SC.356.May.7.2018.Braun.1,Packer lab,5.7.2018,May,7,2018,356,SC,V,1,diadasia,StLBee,,,,,,,,,
SC.359.May.7.2018.Braun.1,Packer lab,5.7.2018,May,7,2018,359,SC,V,1,diadasia,StLBee,,,,,,,,,
,,5.7.2018,May,7,2018,359,SC,1,1,diadasia,StLBee,,,,,,,,,
,,5.8.2018,May,8,2018,363,SC,1,1,diadasia,StLBee,,,,,,,,,
,,5.8.2018,May,8,2018,364,HH,2,2,diadasia,StLBee,,,,,,,,,
,,5.8.2018,May,8,2018,385,SC,1,1,diadasia,StLBee,,,,,,,,,
,,4.22.2018,April,22,2018,25,SD,1,1,e. volucris,syrphid,,,,,,,,,
,,4.30.2018,April,30,2018,199,LT,1,1,e. volucris,syrphid,,,,,,,,,
,,4.21.2018,April,21,2018,6,LT,1,1,eristalis,syrphid,,,,,,,,,
,,5.3.2018,May,3,2018,253,SD,1,1,eristalis,syrphid,,,,,,,,,
,,5.3.2018,May,3,2018,254,BW,1,1,eristalis,syrphid,,,,,,,,,
,,5.7.2018,May,7,2018,340,BW,1,1,eristalis,syrphid,,,,,,,,,
,,5.7.2018,May,7,2018,338,BW,1,1,Eumenes?,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,367,BW,1,1,Eumenes?,Nwasp,,,,,,,,,
,,4.22.2018,April,22,2018,23,EC,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,4.27.2018,April,27,2018,161,SM,1,0,Eumeninae -red,Nwasp,,,,,,,,,
,,4.28.2018,April,28,2018,183,SM,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,4.30.2018,April,30,2018,209,SM,2,2,Eumeninae -red,Nwasp,,,,,,,,,
,,5.3.2018,May,3,2018,237,SM,1,0,Eumeninae -red,Nwasp,,,,,,,,,
,,5.4.2018,May,4,2018,262,SM,6,0,Eumeninae -red,Nwasp,,,,,,,,,
,,5.5.2018,May,5,2018,305,BW,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,5.6.2018,May,6,2018,320,BW,5,5,Eumeninae -red,Nwasp,,,,,,,,,
,,5.7.2018,May,7,2018,336,BW,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,5.7.2018,May,7,2018,352,BW,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,5.7.2018,May,7,2018,354,BW,1,1,Eumeninae -red,Nwasp,,,,,,,,,
BW.355.May.7.2018.Braun.1,,5.7.2018,May,7,2018,355,BW,V,1,Eumeninae -red,Nwasp,,,,,,,,,
,,5.7.2018,May,7,2018,355,BW,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,361,AS,3,3,Eumeninae -red,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,365,BW,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,375,BW,3,3,Eumeninae -red,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,378,BW,3,3,Eumeninae -red,Nwasp,,,,,,,,,
,,5.8.2018,May,8,2018,380,AS,1,1,Eumeninae -red,Nwasp,,,,,,,,,
,,4.21.2018,April,21,2018,12,EC,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,4.24.2018,April,24,2018,77,PP,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,4.30.2018,April,30,2018,208,PP,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,4.30.2018,April,30,2018,209,SM,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,4.30.2018,April,30,2018,235,BW,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,5.5.2018,May,5,2018,305,BW,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,5.5.2018,May,5,2018,310,BW,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,5.6.2018,May,6,2018,316,AS,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,5.7.2018,May,7,2018,338,BW,1,1,Euphilotes mojave,butterfly,,,,,,,,,
,,5.7.2018,May,7,2018,354,BW,2,2,Euphilotes mojave,butterfly,,,,,,,,,
,,4.23.2018,April,23,2018,67,EC,1,0,green plant bug,,,,,,,,,,
,,4.28.2018,April,28,2018,163,LT,2,2,hesperapis,StSmbee,,,,,,,,,
LT.242.May.3.2018.Braun.1,Packer lab,5.3.2018,May,3,2018,242,LT,V,1,hesperapis,StSmbee,,,,,,,,,
,,5.3.2018,May,3,2018,242,LT,1,1,hesperapis,StSmbee,,,,,,,,,
,,5.8.2018,May,8,2018,370,LT,1,1,hesperapis,StSmbee,,,,,,,,,
LT.3.April.21.2018.Braun.1,,4.21.2018,April,21,2018,3,LT,2,2,honeybee,honeybee,,,,,,,,,
